Numero_Temporada;Numero_Episodio;Titulo;Diretor;Escritor;Data_Original;Qtd_Telespectadores
1;1;Pilot;Bryan Singer;David Shore;16/11/2004;7050000.0
2;2;Paternity;Peter O'Fallon;Lawrence Kaplow;23/11/2004;6090000.0
3;3;Occam's Razor;Bryan Singer;David Shore;30/11/2004;6330000.0
4;4;Maternity;Newton Thomas Sigel;Peter Blake;07/12/2004;6740000.0
5;5;Damned If You Do;Greg Yaitanes;Sara B. Cooper;14/12/2004;6910000.0
6;6;The Socratic Method;Peter Medak;John Mankiewicz;21/12/2004;6730000.0
7;7;Fidelity;Bryan Spicer;Thomas L. Moran;28/12/2004;6910000.0
8;8;Poison;Guy Ferland;Matt Witten;25/01/2005;12370000.0
9;9;DNR;Frederick King Keller;David Foster;01/02/2005;12750000.0
10;10;Histories;Dan Attias;Joel Thompson;08/02/2005;14970000.0
11;11;Detox;Nelson McCormick;Lawrence Kaplow & Thomas L. Moran;15/02/2005;14220000.0
12;12;Sports Medicine;Keith Gordon;John Mankiewicz & David Shore;22/02/2005;15530000.0
13;13;Cursed;Daniel Sackheim;Matt Witten & Peter Blake;01/03/2005;15530000.0
14;14;Control;Randy Zisk;Lawrence Kaplow;15/03/2005;17330000.0
15;15;Mob Rules;Tim Hunter;David Foster & John Mankiewicz;22/03/2005;17340000.0
16;16;Heavy;Fred Gerber;Thomas L. Moran;29/03/2005;18280000.0
17;17;Role Model;Peter O'Fallon;Matt Witten;12/04/2005;15040000.0
18;18;Babies & Bathwater;Bill Johnson;Story by: Peter BlakeTeleplay by: Peter Blake & David Shore;19/04/2005;17480000.0
19;19;Kids;Deran Sarafian;Thomas L. Moran & Lawrence Kaplow;03/05/2005;17140000.0
20;20;Love Hurts;Bryan Spicer;Sara B. Cooper;10/05/2005;18800000.0
21;21;Three Stories;Paris Barclay;David Shore;17/05/2005;17680000.0
22;22;Honeymoon;Frederick King Keller;Lawrence Kaplow & John Mankiewicz;24/05/2005;19520000.0
1;23;Acceptance;Dan Attias;Russel Friend & Garrett Lerner;13/09/2005;15910000.0
2;24;Autopsy;Deran Sarafian;Lawrence Kaplow;20/09/2005;13640000.0
3;25;Humpty Dumpty;Dan Attias;Matt Witten;27/09/2005;13370000.0
4;26;TB or Not TB;Peter O'Fallon;David Foster;01/11/2005;12180000.0
5;27;Daddy's Boy;Greg Yaitanes;Thomas L. Moran;08/11/2005;14150000.0
6;28;Spin;Fred Gerber;Sara Hess;15/11/2005;12950000.0
7;29;Hunting;Gloria Muzio;Liz Friedman;22/11/2005;14720000.0
8;30;The Mistake;David Semel;Peter Blake;29/11/2005;14910000.0
9;31;Deception;Deran Sarafian;Michael R. Perry;13/12/2005;14520000.0
10;32;Failure to Communicate;Jace Alexander;Doris Egan;10/01/2006;14830000.0
11;33;Need to Know;David Semel;Pamela Davis;07/02/2006;22240000.0
12;34;Distractions;Dan Attias;Lawrence Kaplow;14/02/2006;19200000.0
13;35;Skin Deep;Jim Hayman;Story by: Russel Friend & Garrett LernerTeleplay by: Russel Friend & Garrett Lerner & David Shore;20/02/2006;14180000.0
14;36;Sex Kills;David Semel;Matt Witten;07/03/2006;20560000.0
15;37;Clueless;Deran Sarafian;Thomas L. Moran;28/03/2006;21440000.0
16;38;Safe;Félix Alcalá;Peter Blake;04/04/2006;22710000.0
17;39;All In;Fred Gerber;David Foster;11/04/2006;21200000.0
18;40;Sleeping Dogs Lie;Greg Yaitanes;Sara Hess;18/04/2006;22640000.0
19;41;House vs. God;John F. Showalter;Doris Egan;25/04/2006;24520000.0
20;42;Euphoria: Part 1;Deran Sarafian;Matthew V. Lewis;02/05/2006;22710000.0
21;43;Euphoria: Part 2;Deran Sarafian;Russel Friend & Garrett Lerner & David Shore;03/05/2006;17160000.0
22;44;Forever;Daniel Sackheim;Liz Friedman;09/05/2006;24290000.0
23;45;Who's Your Daddy?;Martha Mitchell;Story by: Charles M. Duncan & John MankiewiczTeleplay by: John Mankiewicz & Lawrence Kaplow;16/05/2006;22380000.0
24;46;No Reason;David Shore;Story by: Lawrence Kaplow & David ShoreTeleplay by: David Shore;23/05/2006;25470000.0
1;47;Meaning;Deran Sarafian;Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Lawrence Kaplow & David Shore;05/09/2006;19550000.0
2;48;Cane and Able;Daniel Sackheim;Story by: Russel Friend & Garrett Lerner & Lawrence Kaplow & David ShoreTeleplay by: Russel Friend & Garrett Lerner;12/09/2006;15740000.0
3;49;Informed Consent;Laura Innes;David Foster;19/09/2006;13670000.0
4;50;Lines in the Sand;Newton Thomas Sigel;David Hoselton;26/09/2006;14520000.0
5;51;Fools for Love;David Platt;Peter Blake;31/10/2006;14180000.0
6;52;Que Será Será;Deran Sarafian;Thomas L. Moran;07/11/2006;16110000.0
7;53;Son of Coma Guy;Dan Attias;Doris Egan;14/11/2006;14600000.0
8;54;Whac-A-Mole;Daniel Sackheim;Pamela Davis;21/11/2006;15200000.0
9;55;Finding Judas;Deran Sarafian;Sara Hess;28/11/2006;17300000.0
10;56;Merry Little Christmas;Tony To;Liz Friedman;12/12/2006;11770000.0
11;57;Words and Deeds;Daniel Sackheim;Leonard Dick;09/01/2007;17780000.0
