Data;Dolar_Comercial
13/06/2024;5.373
12/06/2024;5.408
11/06/2024;5.359
10/06/2024;5.355
07/06/2024;5.316
06/06/2024;5.255
05/06/2024;5.298
04/06/2024;5.288
03/06/2024;5.233
31/05/2024;5.257
29/05/2024;5.203
28/05/2024;5.16
27/05/2024;5.172
24/05/2024;5.173
23/05/2024;5.155
22/05/2024;5.154
21/05/2024;5.115
20/05/2024;5.109
17/05/2024;5.104
16/05/2024;5.13
15/05/2024;5.137
14/05/2024;5.131
13/05/2024;5.152
10/05/2024;5.157
09/05/2024;5.144
08/05/2024;5.094
07/05/2024;5.072
06/05/2024;5.074
03/05/2024;5.07
02/05/2024;5.113
30/04/2024;5.19
29/04/2024;5.113
26/04/2024;5.116
25/04/2024;5.165
24/04/2024;5.147
23/04/2024;5.129
22/04/2024;5.174
19/04/2024;5.195
18/04/2024;5.246
17/04/2024;5.235
16/04/2024;5.261
15/04/2024;5.186
12/04/2024;5.125
11/04/2024;5.089
10/04/2024;5.078
09/04/2024;5.009
08/04/2024;5.029
05/04/2024;5.065
04/04/2024;5.048
03/04/2024;5.039
02/04/2024;5.059
01/04/2024;5.065
28/03/2024;5.01
27/03/2024;4.98
26/03/2024;4.984
25/03/2024;4.976
22/03/2024;5
21/03/2024;4.98
20/03/2024;4.972
19/03/2024;5.021
18/03/2024;5.027
15/03/2024;4.995
14/03/2024;4.992
13/03/2024;4.974
12/03/2024;4.973
11/03/2024;4.975
08/03/2024;4.98
07/03/2024;4.936
06/03/2024;4.945
05/03/2024;4.954
04/03/2024;4.947
01/03/2024;4.953
29/02/2024;4.973
28/02/2024;4.971
27/02/2024;4.935
26/02/2024;4.977
23/02/2024;4.988
22/02/2024;4.95
21/02/2024;4.94
20/02/2024;4.93
19/02/2024;4.962
16/02/2024;4.966
15/02/2024;4.969
14/02/2024;4.97
09/02/2024;4.958
08/02/2024;4.991
07/02/2024;4.967
06/02/2024;4.961
05/02/2024;4.981
02/02/2024;4.967
01/02/2024;4.915
31/01/2024;4.947
30/01/2024;4.944
29/01/2024;4.951
26/01/2024;4.912
25/01/2024;4.921
24/01/2024;4.933
23/01/2024;4.956
22/01/2024;4.99
19/01/2024;4.929
18/01/2024;4.934
17/01/2024;4.929
16/01/2024;4.929
15/01/2024;4.865
12/01/2024;4.854
11/01/2024;4.878
